AUTH_ID,AUTH_LAST,AUTH_FIRST,ALT_FIRST,PSEUD_LAST_1,PSEUD_FIRST_1,PSEUD_LAST_2,PSEUD_FIRST_2,PSEUD_LAST_3,PSEUD_FIRST_3,CANON,DATE_B,DATE_D,NATIONALITY,GENDER,RACE,HYPHENATED_IDENTITY,IMMIGRANT,SEXUAL_IDENTITY,EDUCATION,MFA,SECONDARY_OCCUPATION,COTERIE,RELIGION,CLASS,GEOGRAPHY
A_00224,Beck,Pamela,,,,,,,,,1954,,American,F,,,,,Yale,,Actress,,,,"Los Angeles, CA; Beverly Hills, CA"
A_00225,Beckett,Samuel,,,,,,,,,1906,1989,British,M,Caucasian,,,,Trinity Coll Dublin,,,,,,"Dublin, Ireland; Paris, France"
A_00226,Beckham,Barry,,,,,,,,,1944,,American,M,Black,African-American,,,"Brown, Columbia Law",,,,Episcopalian,,"Philadelphia, PA; Atlantic City, NJ; Providence, RI"
A_00227,Bedford-Jones,H.,,,,,,,,,1887,1949,Canadian,M,,,,,,,,,,,"Napanee, Ontario, Canada; Beverly Hills, CA"
A_00230,Beinhart,Larry,,,,,,,,,,,American,M,Caucasian,,,,,,,,,,"Woodstock, NY"
A_00231,Bell,Adrian,,,,,,,,,1901,1980,British,M,Caucasian,,,,,,Farmer,,,,"London, UK"
A_00232,Bell,Clare,,,,,,,,,1952,,American,F,Caucasian,,,,"U of CA-Santa Cruz, U of CA-Davis",,Electrical Engineer,,,,"Hitchin, Hertfordshire, England; Palo Alto, CA; Redwood City, CA; San Jose, CA; Patterson, CA"
A_00233,Bell,Eric Temple,,Taine,John,,,,,,1883,1960,American,M,Caucasian,Scottish-American,1,,"Stanford, Columbia",,Mathematician,,,,"Aberdeen, Scotland; San Jose, CA; Pasadena, CA"
A_00234,Bell,Lilian,,,,,,,,,1867,1929,American,F,,,,,,,,,,,"Chicago, IL; Atlanta, GA"
A_00236,Bell,Madison Smartt,,,,,,,,,1957,,American,M,,,,,"Princeton, Hollins U",,,,,,"Nashville, TN; New York, NY; London, UK; Baltimore, MD"
A_00237,Bell,Thomas,,,,,,,,,1903,1961,American,M,,Slovak-American,2,,,,,,,,"Braddock, PA; New York, NY; CA"
A_00239,Bellamy,Edward,,,,,,,,C,1850,1898,American,M,Caucasian,,,,Union Coll,,Socialist,,,,"Chicopee, MA"
A_00241,Belloc,Hilaire,,,,,,,,,1870,1953,British,M,Caucasian,Anglo-French,1,,Oxford,,,,Catholic,,"La Celle-Saint-Cloud, France; Slindon, West Sussex, UK"
A_00242,Bellow,Saul,,,,,,,,C,1915,2005,American,M,Caucasian,Russian-American,2,,"U of Chicago, Northwestern U, U of WI",,,,Jewish,,"Lachine, Quebec, Canada; Chicago, IL; New York, NY; Brookline, MA"
A_00245,Benchley,Peter,,,,,,,,,1940,2006,American,M,Caucasian,,,,Harvard,,,,,,"New York, NY; Princeton, NJ"
A_00247,Benedict,Elizabeth,,,,,,,,,,,American,F,Caucasian,,,,Barnard Coll,,,,,,"New York, NY; Boston, MA"
A_00249,Benet,Stephen Vincent,,,,,,,,,1898,1943,American,M,Caucasian,,,,Yale,,,,,,"Bethlehem, PA; Augusta, GA; New York, NY"
A_00250,Benford,Gregory,,,,,,,,,1941,,American,M,Caucasian,,,,"U of OK, UC San Diego",,,,Atheist,,"Mobile, AL; Irvine, CA"
A_00254,Bennet,Robert Ames,,,,,,,,,1870,1954,American,M,,,,,,,,,,,"Denver, CO"
A_00255,Bennett,Arnold,,,,,,,,,1867,1931,British,M,Caucasian,,,,,,Diplomat,,,,"Staffordshire, England, UK; Paris, France; London, UK"
